Series,Quarter,State,Male Population,Female Population,Population
1/6/2022,2021-22 Q4 (Jun Qtr),New South Wales,4069207,4112891,8182098
1/9/2022,2022-23 Q1 (Sep Qtr),New South Wales,4090263,4133645,8223908
1/12/2022,2022-23 Q2 (Dec Qtr),New South Wales,4110669,4153379,8264048
1/3/2023,2022-23 Q3 (Mar Qtr),New South Wales,4137998,4179331,8317329
1/6/2023,2022-23 Q4 (Jun Qtr),New South Wales,4158499,4197888,8356387
1/9/2023,2023-24 Q1 (Sep Qtr),New South Wales,4184018,4221811,8405829
1/12/2023,2023-24 Q2 (Dec Qtr),New South Wales,4198476,4238608,8437084
1/3/2024,2023-24 Q3 (Mar Qtr),New South Wales,4217773,4258228,8476001
1/6/2024,2023-24 Q4 (Jun Qtr),New South Wales,4226396,4266544,8492940
1/9/2024,2024-25 Q1 (Sep Qtr),New South Wales,4241884,4282120,8524004
1/12/2024,2024-25 Q2 (Dec Qtr),New South Wales,4251591,4293549,8545140
1/6/2022,2021-22 Q4 (Jun Qtr),Victoria,3267915,3347317,6615232
1/9/2022,2022-23 Q1 (Sep Qtr),Victoria,3288878,3368812,6657690
1/12/2022,2022-23 Q2 (Dec Qtr),Victoria,3310463,3389932,6700395
1/3/2023,2022-23 Q3 (Mar Qtr),Victoria,3338832,3418419,6757251
1/6/2023,2022-23 Q4 (Jun Qtr),Victoria,3358839,3438330,6797169
1/9/2023,2023-24 Q1 (Sep Qtr),Victoria,3383003,3463120,6846123
1/12/2023,2023-24 Q2 (Dec Qtr),Victoria,3398311,3480240,6878551
1/3/2024,2023-24 Q3 (Mar Qtr),Victoria,3422962,3507561,6930523
1/6/2024,2023-24 Q4 (Jun Qtr),Victoria,3433534,3519704,6953238
1/9/2024,2024-25 Q1 (Sep Qtr),Victoria,3449005,3536870,6985875
1/12/2024,2024-25 Q2 (Dec Qtr),Victoria,3460687,3550436,7011123
1/6/2022,2021-22 Q4 (Jun Qtr),Queensland,2630783,2680122,5310905
1/9/2022,2022-23 Q1 (Sep Qtr),Queensland,2645698,2696619,5342317
1/12/2022,2022-23 Q2 (Dec Qtr),Queensland,2662454,2714224,5376678
1/3/2023,2022-23 Q3 (Mar Qtr),Queensland,2681859,2733927,5415786
1/6/2023,2022-23 Q4 (Jun Qtr),Queensland,2699135,2751100,5450235
1/9/2023,2023-24 Q1 (Sep Qtr),Queensland,2717416,2768822,5486238
1/12/2023,2023-24 Q2 (Dec Qtr),Queensland,2732082,2783927,5516009
1/3/2024,2023-24 Q3 (Mar Qtr),Queensland,2747684,2800546,5548230
1/6/2024,2023-24 Q4 (Jun Qtr),Queensland,2759362,2812214,5571576
1/9/2024,2024-25 Q1 (Sep Qtr),Queensland,2770935,2824160,5595095
1/12/2024,2024-25 Q2 (Dec Qtr),Queensland,2782529,2836236,5618765
1/6/2022,2021-22 Q4 (Jun Qtr),South Australia,902462,922507,1824969
1/9/2022,2022-23 Q1 (Sep Qtr),South Australia,906810,926521,1833331
1/12/2022,2022-23 Q2 (Dec Qtr),South Australia,910235,929952,1840187
1/3/2023,2022-23 Q3 (Mar Qtr),South Australia,915786,935228,1851014
1/6/2023,2022-23 Q4 (Jun Qtr),South Australia,919041,938605,1857646
1/9/2023,2023-24 Q1 (Sep Qtr),South Australia,923235,942605,1865840
1/12/2023,2023-24 Q2 (Dec Qtr),South Australia,925528,945469,1870997
1/3/2024,2023-24 Q3 (Mar Qtr),South Australia,929257,949370,1878627
1/6/2024,2023-24 Q4 (Jun Qtr),South Australia,931146,951465,1882611
1/9/2024,2024-25 Q1 (Sep Qtr),South Australia,933696,953712,1887408
1/12/2024,2024-25 Q2 (Dec Qtr),South Australia,935716,955954,1891670
1/6/2022,2021-22 Q4 (Jun Qtr),Western Australia ,1400045,1393889,2793934
1/9/2022,2022-23 Q1 (Sep Qtr),Western Australia ,1411775,1404132,2815907
1/12/2022,2022-23 Q2 (Dec Qtr),Western Australia ,1424238,1415285,2839523
1/3/2023,2022-23 Q3 (Mar Qtr),Western Australia ,1439676,1428802,2868478
1/6/2023,2022-23 Q4 (Jun Qtr),Western Australia ,1451838,1439098,2890936
1/9/2023,2023-24 Q1 (Sep Qtr),Western Australia ,1465936,1451438,2917374
1/12/2023,2023-24 Q2 (Dec Qtr),Western Australia ,1476886,1461499,2938385
1/3/2024,2023-24 Q3 (Mar Qtr),Western Australia ,1489741,1473416,2963157
1/6/2024,2023-24 Q4 (Jun Qtr),Western Australia ,1497094,1480196,2977290
1/9/2024,2024-25 Q1 (Sep Qtr),Western Australia ,1506330,1488387,2994717
1/12/2024,2024-25 Q2 (Dec Qtr),Western Australia ,1513456,1495241,3008697
1/6/2022,2021-22 Q4 (Jun Qtr),Tasmania,284142,288158,572300
1/9/2022,2022-23 Q1 (Sep Qtr),Tasmania,284320,288470,572790
1/12/2022,2022-23 Q2 (Dec Qtr),Tasmania,284586,288757,573343
1/3/2023,2022-23 Q3 (Mar Qtr),Tasmania,284780,289056,573836
1/6/2023,2022-23 Q4 (Jun Qtr),Tasmania,284622,289109,573731
1/9/2023,2023-24 Q1 (Sep Qtr),Tasmania,284637,289216,573853
1/12/2023,2023-24 Q2 (Dec Qtr),Tasmania,284708,289468,574176
1/3/2024,2023-24 Q3 (Mar Qtr),Tasmania,285114,289789,574903
1/6/2024,2023-24 Q4 (Jun Qtr),Tasmania,285029,289750,574779
1/9/2024,2024-25 Q1 (Sep Qtr),Tasmania,285018,290040,575058
1/12/2024,2024-25 Q2 (Dec Qtr),Tasmania,285380,290376,575756
1/6/2022,2021-22 Q4 (Jun Qtr),Northern Territory,129134,123966,253100
1/9/2022,2022-23 Q1 (Sep Qtr),Northern Territory,129908,124496,254404
1/12/2022,2022-23 Q2 (Dec Qtr),Northern Territory,130444,124850,255294
1/3/2023,2022-23 Q3 (Mar Qtr),Northern Territory,131182,125284,256466
1/6/2023,2022-23 Q4 (Jun Qtr),Northern Territory,131882,125626,257508
1/9/2023,2023-24 Q1 (Sep Qtr),Northern Territory,132529,126049,258578
1/12/2023,2023-24 Q2 (Dec Qtr),Northern Territory,132903,126158,259061
1/3/2024,2023-24 Q3 (Mar Qtr),Northern Territory,133322,126574,259896
1/6/2024,2023-24 Q4 (Jun Qtr),Northern Territory,133957,126883,260840
1/9/2024,2024-25 Q1 (Sep Qtr),Northern Territory,134503,127071,261574
1/12/2024,2024-25 Q2 (Dec Qtr),Northern Territory,134928,127263,262191
1/6/2022,2021-22 Q4 (Jun Qtr),Australian Capital Territory,227934,233328,461262
1/9/2022,2022-23 Q1 (Sep Qtr),Australian Capital Territory,229200,234815,464015
1/12/2022,2022-23 Q2 (Dec Qtr),Australian Capital Territory,230132,235741,465873
1/3/2023,2022-23 Q3 (Mar Qtr),Australian Capital Territory,231674,237511,469185
1/6/2023,2022-23 Q4 (Jun Qtr),Australian Capital Territory,232641,238699,471340
1/9/2023,2023-24 Q1 (Sep Qtr),Australian Capital Territory,233687,240017,473704
1/12/2023,2023-24 Q2 (Dec Qtr),Australian Capital Territory,234085,240754,474839
1/3/2024,2023-24 Q3 (Mar Qtr),Australian Capital Territory,235165,242183,477348
1/6/2024,2023-24 Q4 (Jun Qtr),Australian Capital Territory,235609,242931,478540
1/9/2024,2024-25 Q1 (Sep Qtr),Australian Capital Territory,236093,244070,480163
1/12/2024,2024-25 Q2 (Dec Qtr),Australian Capital Territory,236561,245116,481677
